position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
2030001 0.0226683 0 0.032 1956 1e-05 1e-06 1e-06 25 2000 0
2330002 -0.0209578 0.002 0 1986 1e-05 1e-06 1e-06 25 2000 0
3830001 -0.0263011 0.001 0 1989 1e-05 1e-06 1e-06 25 2000 0
4662501 0.0322434 0.1665 0 1493 1e-05 1e-06 1e-06 25 2000 0
567502 -0.0531891 0.009 0 3772 1e-05 1e-06 1e-06 25 4000 0
920001 0.0107375 0 0.001 3997 1e-05 1e-06 1e-06 25 4000 0
920002 0.0115336 0.15 0 3269 1e-05 1e-06 1e-06 25 4000 0
1610001 0.0265219 0.0025 0 3992 1e-05 1e-06 1e-06 25 4000 0
1617501 0.00147842 0 0.008 3940 1e-05 1e-06 1e-06 25 4000 0
1737502 0.0719817 0.0035 0 3986 1e-05 1e-06 1e-06 25 4000 0
2015002 0.0101196 0.001 0 3970 1e-05 1e-06 1e-06 25 4000 0
4662501 0.0322434 1 0 1493 1e-05 1e-06 1e-06 25 4000 0
920002 0.0115336 0.889 0 3269 1e-05 1e-06 1e-06 25 6000 0
1677501 0.104377 0 0.0005 5997 1e-05 1e-06 1e-06 25 6000 0
1737502 -0.0349726 0 0.1455 5781 1e-05 1e-06 1e-06 25 6000 0
2030001 0.018232 0.717 0 5033 1e-05 1e-06 1e-06 25 6000 0
2330001 0.000127777 0.0005 0 6000 1e-05 1e-06 1e-06 25 6000 0
2990001 -0.0529333 0 0.0085 5958 1e-05 1e-06 1e-06 25 6000 0
3117501 -0.000220957 0 0.021 5791 1e-05 1e-06 1e-06 25 6000 0
3897502 -0.00519651 0 0.029 5826 1e-05 1e-06 1e-06 25 6000 0
4070002 0.0702245 0 0.011 5905 1e-05 1e-06 1e-06 25 6000 0
4122502 0.125109 0.325 0 5675 1e-05 1e-06 1e-06 25 6000 0
4617502 0.0117059 0 0.0005 5999 1e-05 1e-06 1e-06 25 6000 0
4662501 0.0322434 0.996 0 1493 1e-05 1e-06 1e-06 25 6000 0
